epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,17.8516,0.65612,0.55556,1,0.63376,0.00010002,0.00010002,0.00010002
2,34.3628,0.51449,1,1,0.34115,0.000202407,0.000202407,0.000202407
3,50.3157,0.28442,1,1,0.15312,0.000289391,0.000289391,0.000289391
4,66.2465,0.17392,1,1,0.06199,0.000360972,0.000360972,0.000360972
5,82.7038,0.0915,1,1,0.01056,0.00041715,0.00041715,0.00041715
6,99.4666,0.05402,1,1,0.00219,0.000457925,0.000457925,0.000457925
7,115.896,0.02066,1,1,0.00033,0.000483297,0.000483297,0.000483297
8,131.593,0.0138,1,1,0.00017,0.000493265,0.000493265,0.000493265
9,147.297,0.03609,1,1,8e-05,0.000487831,0.000487831,0.000487831
10,171.153,0.01823,1,1,5e-05,0.000466993,0.000466993,0.000466993
11,198.128,0.00765,1,1,5e-05,0.000430753,0.000430753,0.000430753
12,227.523,0.0099,1,1,3e-05,0.000379109,0.000379109,0.000379109
13,253.442,0.00211,1,1,3e-05,0.000312062,0.000312062,0.000312062
14,279.832,0.00124,1,1,3e-05,0.000229613,0.000229613,0.000229613
15,303.386,0.0019,1,1,4e-05,0.000126692,0.000126692,0.000126692
